correct	wrong
حسین	حسینه
ابربدهکار	ابربدهکاره
ببینیدماجرای	ببینیدماجرایه
میان	میانه
موی	مویه
ریش	ریشه
ثواب	ثوابه
زیارت	زیارته
روایت	روایته
جانشین	جانشینه
کل	کله
شیطان	شیطانه
مسئولین	مسئولینه
دیدن	دیدنه
تشکیل	تشکیله
وجود	وجوده
های	هایه
منتظر	منتظره
شرایط	شرایطه
پلیس	پلیسه
خواص	خواصه
سایر	سایره
روز	روزه
حکم	حکمه
عباس	عباسه
خود	خوده
تصویر	تصویره
رنگ	رنگه
دنیای	دنیایه
آرایش	آرایشه
انتقال	انتقاله
همایش	همایشه
اربعین	اربعینه
اجتماع	اجتماعه
تعلق	تعلقه
گرفتن	گرفتنه
داداش	داداشه
طرفداران	طرفدارانه
اسم	اسمه
اهنگ	اهنگه
روز	روزه
سالروز	سالروزه
داستان	داستانه
توسط	توسطه
ماهیت	ماهیته
زندگی	زندگیه
های	هایه
تصمیم	تصمیمه
وارد	وارده
ایرانی	ایرانیه
فضای	فضایه
فيلم	فيلمه
بازى	بازىه
ميدان	ميدانه
بحثهای	بحثهایه
زبان	زبانه
زبانهای	زبانهایه
جهانی	جهانیه
امیر	امیره
نصف	نصفه
محسنات	محسناته
آلبوم	آلبومه
تمام	تمامه
روز	روزه
کتاب	کتابه
جنس	جنسه
پاپوش	پاپوشه
صورت	صورته
مشاور	مشاوره
عالی	عالیه
فرهنگی	فرهنگیه
دامن	دامنه
دل	دله
بیانات	بیاناته
آقای	آقایه
همسر	همسره
مسئولیت	مسئولیته
مثل	مثله
عاشق	عاشقه
مورد	مورده
صدور	صدوره
حکم	حکمه
جریان	جریانه
سفر	سفره
دم	دمه
نظام	نظامه
مقدس	مقدسه
جمهوری	جمهوریه
مث	مثه
شیر	شیره
کشتار	کشتاره
ادبیات	ادبیاته
نهادهای	نهادهایه
حمایت	حمایته
محسن	محسنه
بنیانگذار	بنیانگذاره
وضعیت	وضعیته
وجود	وجوده
وجود	وجوده
اکس	اکسه
سورپرایزهای	سورپرایزهایه
بعدی	بعدیه
وزیر	وزیره
نظر	نظره
شرق	شرقه
اقدامات	اقداماته
گواه	گواهه
توسط	توسطه
انتشارات	انتشاراته
منتظر	منتظره
نمایش	نمایشه
یادآوری	یادآوریه
انگ	انگه
عنوان	عنوانه
آمدی	آمدیه
های	هایه
پهبادی	پهبادیه
حسین	حسینه
برادر	برادره
پرداخت	پرداخته
ونوبت	ونوبته
مهم	مهمه
خاطر	خاطره
دیدار	دیداره
اخیر	اخیره
رهبر	رهبره
حضور	حضوره
فرح	فرحه
بانوی	بانویه
خاکسپاری	خاکسپاریه
پول	پوله
لطف	لطفه
اعلان	اعلانه
حبس	حبسه
جزای	جزایه
مثل	مثله
اعلام	اعلامه
مثل	مثله
دنبال	دنباله
وکیل	وکیله
تولید	تولیده
عامل	عامله
فیلترشدن	فیلترشدنه
ازعواقب	ازعواقبه
قربانی	قربانیه
لیاقت	لیاقته
وزارت	وزارته
خصوص	خصوصه
نقاط	نقاطه
شنیدن	شنیدنه
حال	حاله
خوب	خوبه
بعد	بعده
شب	شبه
پشت	پشته
های	هایه
اوایل	اوایله
سر	سره
تایم	تایمه
دست	دسته
تک	تکه
طرفداران	طرفدارانه
تیم	تیمه
روز	روزه
پیش	پیشه
کردن	کردنه
بدون	بدونه
لینک	لینکه
مهارت	مهارته
صدای	صدایه
عشق	عشقه
هنگام	هنگامه
سخنرانی	سخنرانیه
تمام	تمامه
تقی	تقیه
پیشنهاد	پیشنهاده
آذربایجان	آذربایجانه
آمدن	آمدنه
راهپیمایی	راهپیماییه
افشای	افشایه
نقاط	نقاطه
کردن	کردنه
راه	راهه
ارتش	ارتشه
دختر	دختره
حیات	حیاته
داخل	داخله
سال	ساله
پیغام	پیغامه
های	هایه
نظام	نظامه
مقدس	مقدسه
جرائم	جرائمه
تمام	تمامه
جهت	جهته
خودکشی	خودکشیه
روز	روزه
حکم	حکمه
عباس	عباسه
فعال	فعاله
نام	نامه
داستان	داستانه
مرغ	مرغه
عشق	عشقه
راه	راهه
قوانین	قوانینه
رفتن	رفتنه
اضطراب	اضطرابه
سفر	سفره
نداشتن	نداشتنه
صدور	صدوره
حکم	حکمه
دستگاه	دستگاهه
استاد	استاده
ننگ	ننگه
ابراهیم	ابراهیمه
دستور	دستوره
بازپرس	بازپرسه
سرقرار	سرهقرار
رسانه	رسانهه
نظر	نظره
درد	درده
دانشگاه	دانشگاهه
دروس	دروسه
دانشگاه	دانشگاهه
شرح	شرحه
فراق	فراقه
پای	پایه
بدخواهان	بدخواهانه
دست	دسته
چشمان	چشمانه
روز	روزه
یکم	یکمه
عنوان	عنوانه
عکس	عکسه
جمعی	جمعیه
شوراي	شورايه
طرح	طرحه
شفافیت	شفافیته
نمایندگان	نمایندگانه
توی	تویه
لبهای	لبهایه
قدر	قدره
اندوه	اندوهه
قاچاقچی	قاچاقچیه
دولت	دولته
صورت	صورته
سخنگوی	سخنگویه
اتهام	اتهامه
مقام	مقامه
مرد	مرده
شهرداری	شهرداریه
رفقای	رفقایه
مواکب	مواکبه
حاصل	حاصله
بازپرس	بازپرسه
سابق	سابقه
دادسرای	دادسرایه
اول	اوله
روز	روزه
راه	راهه
پرچم	پرچمه
بحث	بحثه
شومی	شومیه
راغب	راغبه
ی	یه
بازپرس	بازپرسه
سابق	سابقه
دوم	دومه
هتک	هتکه
دستان	دستانه
فهم	فهمه
زبان	زبانه
دخترک	دخترکه
مثل	مثله
پای	پایه
حسرت	حسرته
دیدن	دیدنه
فیلم	فیلمه
حضور	حضوره
نقش	نقشه
ناموس	ناموسه
مردم	مردمه
پل	پله
سراغ	سراغه
ي	يه
مدیران	مدیرانه
های	هایه
بدون	بدونه
جنگ	جنگه
آمار	آماره
کارشناس	کارشناسه
نظامی	نظامیه
های	هایه
مدیر	مدیره
جیب	جیبه
دیدن	دیدنه
خدمت	خدمته
آقای	آقایه
اساس	اساسه
لباس	لباسه
ورشکستگی	ورشکستگیه
های	هایه
عضو	عضوه
فرناز	فرنازه
نگاران	نگارانه
عاشق	عاشقه
خمینی	خمینیه
کثیف	کثیفه
لقب	لقبه
بازار	بازاره
طرف	طرفه
صدور	صدوره
حکم	حکمه
دستگاه	دستگاهه
کار	کاره
داداش	داداشه
اعلام	اعلامه
فامیل	فامیله
طول	طوله
مثل	مثله
نوشیدن	نوشیدنه
هشتگ	هشتگه
بندر	بندره
بستگان	بستگانه
خواب	خوابه
تاريخ	تاريخه
مبنای	مبنایه
دل	دله
کفار	کفاره
نفوذ	نفوذه
شنیدن	شنیدنه
احساس	احساسه
دامن	دامنه
دل	دله
وسط	وسطه
سازمان	سازمانه
رغم	رغمه
رشد	رشده
تعداد	تعداده
روی	رویه
راه	راهه
کردن	کردنه
میکروسکوپ	میکروسکوپه
نسل	نسله
زیستی	زیستیه
قول	قوله
اسفندیار	اسفندیاره
نظام	نظامه
دزد	دزده
رهرو	رهروه
نفوذ	نفوذه
خبر	خبره
وقتای	وقتایه
سالروز	سالروزه
فوت	فوته
فکر	فکره
مالک	مالکه
نزد	نزده
جهت	جهته
پیش	پیشه
تابستان	تابستانه
همکاران	همکارانه
طی	طیه
تیم	تیمه
پاک	پاکه
بحران	بحرانه
ازمعضلات	ازمعضلاته
راه	راهه
درد	درده
ارتش	ارتشه
ایالات	ایالاته
موشک	موشکه
تک	تکه
معنای	معنایه
قول	قوله
اسفندیار	اسفندیاره
طلبهای	طلبهایه
پاس	پاسه
لیاقت	لیاقته
فدراسیون	فدراسیونه
المللی	المللیه
هوادار	هواداره
خدای	خدایه
خدای	خدایه
دست	دسته
تابستان	تابستانه
انگیز	انگیزه
طرف	طرفه
دشمن	دشمنه
میان	میانه
زنان	زنانه
رسانی	رسانیه
افراد	افراده
بخاطر	بخاطره
نقد	نقده
کنکور	کنکوره
فصل	فصله
مسافرت	مسافرته
آدمهای	آدمهایه
نیستنداصرار	نیستنداصراره
چهارچوب	چهارچوبه
سمت	سمته
قلب	قلبه
طبق	طبقه
تحقیقات	تحقیقاته
توسط	توسطه
پشت	پشته
حس	حسه
روز	روزه
عید	عیده
احساس	احساسه
تولد	تولده
خانم	خانمه
مث	مثه
خواهی	خواهیه
حقوق	حقوقه
سرنگونی	سرنگونیه
اهل	اهله
بیت	بیته
بردندنهایت	بردندنهایته
تفریحات	تفریحاته
سالم	سالمه
سونوگرافی	سونوگرافیه
آقای	آقایه
پیگیریهای	پیگیریهایه
مراجعات	مراجعاته
ورود	وروده
مداحی	مداحیه
زیبای	زیبایه
مهدی	مهدیه
مورد	مورده
برادر	برادره
دانلود	دانلوده
دلیل	دلیله
پی	پیه
توبیخ	توبیخه
حل	حله
استقراضی	استقراضیه
امور	اموره
تجاری	تجاریه
شخصی	شخصیه
برای	برایه
وزیر	وزیره
رهبر	رهبره
ی	یه
مثل	مثله
دست	دسته
ترس	ترسه
گاو	گاوه
گاوهای	گاوهایه
سوال	سواله
ی	یه
اهل	اهله
تبدیل	تبدیله
عکس	عکسه
شیر	شیره
دوربین	دوربینه
بدون	بدونه
نتیجه	نتیجهه
خاک	خاکه
دختر	دختره
اسم	اسمه
رمز	رمزه
روی	رویه
کشور	کشوره
جانبازهای	جانبازهایه
مدیریت	مدیریته
دکتر	دکتره
جراح	جراحه
گروه	گروهه
وویسای	وویسایه
منجی	منجیه
شیر	شیره
دلیر	دلیره
العمل	العمله
غیر	غیره
موقعیت	موقعیته
جلوی	جلویه
ساحل	ساحله
پیشنهاد	پیشنهاده
پیشنهاد	پیشنهاده
دارای	دارایه
دبیرکل	دبیرکله
کلاس	کلاسه
مثل	مثله
فکر	فکره
واجبات	واجباته
روز	روزه
عید	عیده
وجود	وجوده
لایق	لایقه
قلب	قلبه
ندای	ندایه
دور	دوره
تالار	تالاره
ادعای	ادعایه
تلویحی	تلویحیه
عباس	عباسه
سعید	سعیده
زندانی	زندانیه
سیاسی	سیاسیه
رژیم	رژیمه
دست	دسته
حجت	حجته
احترامی	احترامیه
های	هایه
های	هایه
موقع	موقعه
توسط	توسطه
تلاش	تلاشه
دوستای	دوستایه
لینک	لینکه
تاریخی	تاریخیه
طرفدار	طرفداره
حامی	حامیه
های	هایه
کثیف	کثیفه
سوالای	سوالایه
کمک	کمکه
گرفتن	گرفتنه
فهم	فهمه
جمهوری	جمهوریه
حس	حسه
محتوای	محتوایه
ی	یه
لباس	لباسه
حال	حاله
مناسبت	مناسبته
جهانی	جهانیه
مردم	مردمه
فصل	فصله
